Date,Name_of_state,Latitude,Longitude,Total_Confirmed_cases_till_date,Death_till_date,Recovered_till_date,Max_Temperature_in_Degrees,Min_Temperature_in_Degrees,Population,Total_Test_till_date,Mortality_Rate_in_percent,Case_Fatality_Rate_in_percent
4/14/2020,Delhi,28.7041,77.1025,1510,28,30,41,24,19814000,16282,0.000141,0.019
4/15/2020,Delhi,28.7041,77.1025,1561,30,30,41,25,19814000,16605,0.000151,0.019
4/16/2020,Delhi,28.7041,77.1025,1578,32,42,41,23,19814000,18784,0.000162,0.02
4/17/2020,Delhi,28.7041,77.1025,1640,38,51,39,25,19814000,21409,0.000192,0.023
4/18/2020,Delhi,28.7041,77.1025,1707,42,72,38,23,19814000,22283,0.000212,0.025
4/19/2020,Delhi,28.7041,77.1025,1893,42,72,37,20,19814000,24387,0.000212,0.022
4/20/2020,Delhi,28.7041,77.1025,2003,45,72,33,21,19814000,25900,0.000227,0.022
4/21/2020,Delhi,28.7041,77.1025,2081,47,431,36,19,19814000,26627,0.000237,0.023
4/22/2020,Delhi,28.7041,77.1025,2156,47,611,37,19,19814000,28309,0.000237,0.022
4/23/2020,Delhi,28.7041,77.1025,2248,48,724,36,24,19814000,30560,0.000242,0.021
4/24/2020,Delhi,28.7041,77.1025,2376,50,808,39,21,19814000,33672,0.000252,0.021
4/25/2020,Delhi,28.7041,77.1025,2514,53,857,39,24,19814000,35519,0.000267,0.021
4/26/2020,Delhi,28.7041,77.1025,2625,54,869,30,20,19814000,37613,0.000273,0.021
4/27/2020,Delhi,28.7041,77.1025,2918,54,877,35,19,19814000,39911,0.000273,0.019
4/28/2020,Delhi,28.7041,77.1025,3108,54,877,36,22,19814000,43370,0.000273,0.017
4/29/2020,Delhi,28.7041,77.1025,3314,54,1078,38,23,19814000,47225,0.000273,0.016
4/30/2020,Delhi,28.7041,77.1025,3439,56,1092,40,24,19814000,49087,0.000283,0.016
5/1/2020,Delhi,28.7041,77.1025,3515,59,1094,40,24,19814000,50950,0.000298,0.017
5/2/2020,Delhi,28.7041,77.1025,3738,61,1167,39,24,19814000,58210,0.000308,0.016
5/3/2020,Delhi,28.7041,77.1025,4122,64,1256,38,22,19814000,60246,0.000323,0.016
5/4/2020,Delhi,28.7041,77.1025,4549,64,1362,36,20,19814000,64108,0.000323,0.014
5/5/2020,Delhi,28.7041,77.1025,4898,64,1431,38,22,19814000,67852,0.000323,0.013
5/6/2020,Delhi,28.7041,77.1025,5104,64,1468,36,23,19814000,71934,0.000323,0.013
5/7/2020,Delhi,28.7041,77.1025,5532,65,1542,39,22,19814000,77234,0.000328,0.012
5/8/2020,Delhi,28.7041,77.1025,5980,66,1931,41,23,19814000,81367,0.000333,0.011
5/9/2020,Delhi,28.7041,77.1025,6318,68,2020,42,24,19814000,84226,0.000343,0.011
5/10/2020,Delhi,28.7041,77.1025,6542,73,2020,37,23,19814000,93810,0.000368,0.011
5/11/2020,Delhi,28.7041,77.1025,6923,73,2069,37,20,19814000,97678,0.000368,0.011
5/12/2020,Delhi,28.7041,77.1025,7233,73,2129,39,24,19814000,106109,0.000368,0.01
5/13/2020,Delhi,28.7041,77.1025,7639,86,2512,37,26,19814000,113345,0.000434,0.011
5/14/2020,Delhi,28.7041,77.1025,7998,106,2858,41,23,19814000,119736,0.000535,0.013
5/15/2020,Delhi,28.7041,77.1025,8470,115,3045,40,23,19814000,125189,0.00058,0.014
5/16/2020,Delhi,28.7041,77.1025,8895,123,3518,41,24,19814000,130845,0.000621,0.014
5/17/2020,Delhi,28.7041,77.1025,9333,129,3926,42,24,19814000,135791,0.000651,0.014
5/18/2020,Delhi,28.7041,77.1025,10054,160,4485,42,24,19814000,139727,0.000808,0.016
5/19/2020,Delhi,28.7041,77.1025,10054,168,4485,43,23,19814000,145854,0.000848,0.017
5/20/2020,Delhi,28.7041,77.1025,10554,168,4750,42,22,19814000,150282,0.000848,0.016
5/21/2020,Delhi,28.7041,77.1025,11088,176,5192,44,23,19814000,154385,0.000888,0.016
5/22/2020,Delhi,28.7041,77.1025,11659,194,5567,45,24,19814000,160255,0.000979,0.017
5/23/2020,Delhi,28.7041,77.1025,12319,208,5897,46,28,19814000,165047,0.00105,0.017
5/24/2020,Delhi,28.7041,77.1025,12910,231,6267,45,29,19814000,169873,0.001166,0.018
5/25/2020,Delhi,28.7041,77.1025,13418,261,6540,46,27,19814000,174469,0.001317,0.019
5/26/2020,Delhi,28.7041,77.1025,14053,276,6771,48,29,19814000,178579,0.001393,0.02
5/27/2020,Delhi,28.7041,77.1025,14465,288,7223,47,28,19814000,184362,0.001454,0.02
5/28/2020,Delhi,28.7041,77.1025,15257,303,7264,42,25,19814000,191977,0.001529,0.02
5/29/2020,Delhi,28.7041,77.1025,16281,316,7495,38,22,19814000,199626,0.001595,0.019
5/30/2020,Delhi,28.7041,77.1025,17386,398,7846,36,22,19814000,206739,0.002009,0.023
5/31/2020,Delhi,28.7041,77.1025,18549,416,8075,34,20,19814000,212784,0.0021,0.022
6/1/2020,Delhi,28.7041,77.1025,19844,473,8478,36,20,19814000,217537,0.002387,0.024
6/2/2020,Delhi,28.7041,77.1025,20834,523,8746,38,24,19814000,223607,0.00264,0.025
6/3/2020,Delhi,28.7041,77.1025,22132,556,9243,39,24,19814000,230145,0.002806,0.025
6/4/2020,Delhi,28.7041,77.1025,23645,606,9542,37,25,19814000,236506,0.003058,0.026
6/5/2020,Delhi,28.7041,77.1025,25004,650,9898,36,23,19814000,241693,0.003281,0.026
6/6/2020,Delhi,28.7041,77.1025,26334,708,10315,38,23,19814000,246873,0.003573,0.027
